rank,Youtuber,subscribers,video views,category,Title,uploads,Country,Abbreviation,channel_type,video_views_rank,country_rank,channel_type_rank,video_views_for_the_last_30_days,lowest_monthly_earnings,highest_monthly_earnings,lowest_yearly_earnings,highest_yearly_earnings,subscribers_for_last_30_days,created_year,created_month,created_date,Gross tertiary education enrollment (%),Population,Unemployment rate,Urban_population,Latitude,Longitude
8,PewDiePie,111000000,29058044447.0,Gaming,PewDiePie,4716,Japan,JP,Entertainment,44.0,1.0,4.0,39184000.0,9800.0,156700.0,117600.0,1900000.0,,2010.0,Apr,29.0,63.2,126226568.0,2.29,115782416.0,36.204824,138.252924
9,Like Nastya,106000000,90479060027.0,People & Blogs,Like Nastya Vlog,493,Russia,RU,People,630.0,5.0,25.0,48947000.0,12200.0,195800.0,146800.0,2300000.0,100000.0,2016.0,Jan,14.0,81.9,144373535.0,4.59,107683889.0,61.52401,105.318756
14,BLACKPINK,89800000,32144597566.0,People & Blogs,BLACKPINK,543,South Korea,KR,Music,32.0,1.0,3.0,498930000.0,124700.0,2000000.0,1500000.0,23900000.0,700000.0,2016.0,Jun,29.0,94.3,51709098.0,4.15,42106719.0,35.907757,127.766922
17,5-Minute Crafts,80100000,26236790209.0,Howto & Style,5-Minute Crafts 2.0,1,United Kingdom,GB,Entertainment,4057901.0,4797.0,6781.0,1.0,0.0,0.0,0.0,0.05,,2020.0,Jul,27.0,60.0,66834405.0,3.85,55908316.0,55.378051,-3.435973
18,BANGTANTV,75600000,20826993957.0,Music,BANGTANTV,2281,South Korea,KR,Music,112.0,2.0,4.0,168290000.0,42100.0,673200.0,504900.0,8100000.0,400000.0,2012.0,Dec,17.0,94.3,51709098.0,4.15,42106719.0,35.907757,127.766922
21,HYBE LABELS,71300000,28634566938.0,Music,HYBE LABELS,1337,South Korea,KR,Music,46.0,3.0,5.0,598173000.0,149500.0,2400000.0,1800000.0,28700000.0,900000.0,2008.0,Jun,4.0,94.3,51709098.0,4.15,42106719.0,35.907757,127.766922
40,Ed Sheeran,53500000,30367676736.0,Music,Ed Sheeran,383,United Kingdom,GB,Music,39.0,1.0,18.0,202720000.0,50700.0,810900.0,608200.0,9700000.0,100000.0,2006.0,Aug,8.0,60.0,66834405.0,3.85,55908316.0,55.378051,-3.435973
47,Get Movies,47500000,30788679536.0,Entertainment,Get Movies,3322,Russia,RU,Film,35.0,1.0,4.0,306540000.0,76600.0,1200000.0,919600.0,14700000.0,700000.0,2006.0,Dec,16.0,81.9,144373535.0,4.59,107683889.0,61.52401,105.318756
51,A4,46300000,22936630813.0,Gaming,aefour,1,Cuba,CU,People,4053056.0,99.0,5359.0,94.0,0.02,0.38,0.28,5.0,10.0,2006.0,Mar,11.0,41.4,11333483.0,1.64,8739135.0,21.521757,-77.781167
53,Fernanfloo,46100000,10323391593.0,Gaming,Fernanfloo,543,El Salvador,SV,Games,419.0,1.0,3.0,33842000.0,8500.0,135400.0,101500.0,1600000.0,200000.0,2011.0,May,2.0,29.4,6453553.0,4.11,4694702.0,13.794185,-88.89653
57,HAR PAL GEO,44600000,41139050371.0,Entertainment,HAR PAL GEO,100755,Pakistan,PK,Entertainment,20.0,1.0,15.0,1337000000.0,334300.0,5300000.0,4000000.0,64200000.0,1300000.0,2008.0,Jan,2.0,9.0,216565318.0,4.45,79927762.0,30.375321,69.345116
61,ABS-CBN Entertainment,44200000,50292540392.0,People & Blogs,ABS-CBN Entertainment,193890,Philippines,PH,Entertainment,16.0,1.0,16.0,176629000.0,44200.0,706500.0,529900.0,8500000.0,300000.0,2008.0,Jul,16.0,35.5,108116615.0,2.15,50975903.0,12.879721,121.774017
62,Alan Walker,43700000,12884264778.0,Music,alanwalker,8,Thailand,TH,Film,4056116.0,4026.0,5270.0,22.0,0.01,0.09,0.07,1.0,,2006.0,May,12.0,49.3,69625582.0,0.75,35294600.0,15.870032,100.992541
65,ýýýýýýýý ýý ýýýýýýýýýýýýýý,43200000,36458726976.0,Film & Animation,ýýýýýýýý ýý ýýýýýýýýýýýýýý,1478,Russia,RU,Education,26.0,2.0,6.0,303780000.0,75900.0,1200000.0,911300.0,14600000.0,300000.0,2011.0,May,31.0,81.9,144373535.0,4.59,107683889.0,61.52401,105.318756
66,ARY Digital HD,43200000,37939780685.0,Entertainment,ARY Digital HD,109871,Pakistan,PK,Entertainment,24.0,2.0,18.0,1149000000.0,287300.0,4600000.0,3400000.0,55200000.0,900000.0,2016.0,Jul,11.0,9.0,216565318.0,4.45,79927762.0,30.375321,69.345116
72,Kimberly Loaiza,41300000,5603111948.0,People & Blogs,Kimberly Loaiza,291,Mexico,MX,People,1157.0,2.0,1.0,136745000.0,34200.0,547000.0,410200.0,6600000.0,400000.0,2016.0,Nov,16.0,40.2,126014024.0,3.42,102626859.0,23.634501,-102.552784
74,Luisito Comunica,40600000,8670473639.0,Comedy,Luis Arturo Villar Sudek,0,Mexico,MX,Comedy,3612215.0,3021.0,,,0.0,0.0,0.0,0.0,,2010.0,Jun,18.0,40.2,126014024.0,3.42,102626859.0,23.634501,-102.552784
77,shfa2 - ï¿½ï¿½,39700000,23884824160.0,People & Blogs,shfa2 - ï¿½ï¿½,1596,United Arab Emirates,AE,People,81.0,1.0,2.0,247731000.0,61900.0,990900.0,743200.0,11900000.0,300000.0,2017.0,Nov,6.0,36.8,9770529.0,2.35,8479744.0,23.424076,53.847818
83,WorkpointOfficial,39000000,36131228583.0,Entertainment,WorkpointOfficial,72580,Thailand,TH,Entertainment,27.0,1.0,24.0,130461000.0,32600.0,521800.0,391400.0,6300000.0,200000.0,2012.0,Nov,5.0,49.3,69625582.0,0.75,35294600.0,15.870032,100.992541
94,ýýýýýýýýýýýý one31,37500000,27262462114.0,Entertainment,ýýýýýýýýýýýý one31,117152,Thailand,TH,Entertainment,56.0,2.0,29.0,140754000.0,35200.0,563000.0,422300.0,6800000.0,300000.0,2013.0,Jan,10.0,49.3,69625582.0,0.75,35294600.0,15.870032,100.992541
118,Jess No Limit,34000000,3963007415.0,Entertainment,Jess No Limit,2284,Indonesia,ID,Entertainment,1882.0,1.0,33.0,547141000.0,136800.0,2200000.0,1600000.0,26300000.0,5500000.0,2017.0,Sep,7.0,36.3,270203917.0,4.69,151509724.0,-0.789275,113.921327
126,Ch3Thailand,33500000,29611914495.0,Entertainment,Ch3Thailand,96214,Thailand,TH,Entertainment,41.0,3.0,37.0,61307000.0,0.0,0.0,0.0,0.0,100000.0,2014.0,May,29.0,49.3,69625582.0,0.75,35294600.0,15.870032,100.992541
128,NoCopyrightSounds,33400000,10530729078.0,Music,NoCopyrightSounds,1331,United Kingdom,GB,Music,402.0,3.0,44.0,55654000.0,13900.0,222600.0,167000.0,2700000.0,,2011.0,Aug,14.0,60.0,66834405.0,3.85,55908316.0,55.378051,-3.435973
130,Ricis Official,33300000,5994136760.0,People & Blogs,Ricis Official,2736,Indonesia,ID,Entertainment,1043.0,2.0,34.0,157101000.0,39300.0,628400.0,471300.0,7500000.0,1900000.0,2016.0,Jan,15.0,36.3,270203917.0,4.69,151509724.0,-0.789275,113.921327
138,Mr Bean,32100000,10602236110.0,Shows,Mr Bean,3091,United Kingdom,GB,Comedy,400.0,4.0,5.0,56534000.0,14100.0,226100.0,169600.0,2700000.0,100000.0,2006.0,Jan,4.0,60.0,66834405.0,3.85,55908316.0,55.378051,-3.435973
142,GMA  Network,31900000,19428308461.0,Entertainment,GMA  Network,93311,Philippines,PH,Entertainment,129.0,2.0,41.0,798510000.0,199600.0,3200000.0,2400000.0,38300000.0,500000.0,2006.0,Nov,20.0,35.5,108116615.0,2.15,50975903.0,12.879721,121.774017
143,GENIAL,31800000,6762424690.0,Howto & Style,GENIAL,6734,Mexico,MX,Howto,884.0,4.0,4.0,31455000.0,7900.0,125800.0,94400.0,1500000.0,,2017.0,Jun,1.0,40.2,126014024.0,3.42,102626859.0,23.634501,-102.552784
151,Peppa Pig - Official Channel,31400000,22919271731.0,Film & Animation,Peppa Pig - Official Channel,3589,United Kingdom,GB,Education,91.0,5.0,11.0,244925000.0,61200.0,979700.0,734800.0,11800000.0,300000.0,2013.0,Oct,9.0,60.0,66834405.0,3.85,55908316.0,55.378051,-3.435973
159,AboFlah,30500000,4521573939.0,Gaming,AboFlah,641,Kuwait,KW,Entertainment,1573.0,1.0,7.0,157908000.0,39500.0,631600.0,473700.0,7600000.0,1300000.0,2016.0,Jul,28.0,54.4,4207083.0,2.18,4207083.0,29.31166,47.481766
160,AH,30400000,4332274962.0,Entertainment,AH,2197,Indonesia,ID,Entertainment,1701.0,4.0,46.0,21440000.0,5400.0,85800.0,64300.0,1000000.0,,2014.0,Jan,26.0,36.3,270203917.0,4.69,151509724.0,-0.789275,113.921327
164,Adele,30200000,14199108016.0,Music,Adele,15,United Kingdom,GB,Music,248.0,6.0,53.0,137099000.0,34300.0,548400.0,411300.0,6600000.0,100000.0,2008.0,Apr,4.0,60.0,66834405.0,3.85,55908316.0,55.378051,-3.435973
168,Spinnin' Records,30100000,19607009165.0,Music,Spinnin' Records,11501,Netherlands,NL,Music,127.0,1.0,54.0,100040000.0,25000.0,400200.0,300100.0,4800000.0,100000.0,2007.0,Jul,12.0,85.0,17332850.0,3.2,15924729.0,52.132633,5.291266
186,HUM TV,28300000,23844936965.0,Entertainment,HUM TV,106983,Pakistan,PK,Entertainment,80.0,3.0,49.0,684860000.0,171200.0,2700000.0,2100000.0,32900000.0,700000.0,2011.0,May,25.0,9.0,216565318.0,4.45,79927762.0,30.375321,69.345116
191,Sandeep Maheshwari,27800000,2303069221.0,People & Blogs,Sandeepmaheshwari,0,Singapore,SG,,4057944.0,3017.0,,,0.0,0.0,0.0,0.0,1.0,2008.0,Jan,2.0,84.8,5703569.0,4.11,5703569.0,1.352083,103.819836
196,JYP Entertainment,27400000,19883150017.0,Music,JYP Entertainment,1753,South Korea,KR,Music,124.0,4.0,64.0,307631000.0,76900.0,1200000.0,922900.0,14800000.0,200000.0,2008.0,Jan,25.0,94.3,51709098.0,4.15,42106719.0,35.907757,127.766922
198,DanTDM,27400000,19417887510.0,Gaming,DanTDM,3664,United Kingdom,GB,Games,132.0,7.0,16.0,78668000.0,19700.0,314700.0,236000.0,3800000.0,500000.0,2012.0,Jul,14.0,60.0,66834405.0,3.85,55908316.0,55.378051,-3.435973
209,Raffy Tulfo in Action,26500000,15065753455.0,News & Politics,Raffy Tulfo in Action,10022,Philippines,PH,News,219.0,3.0,5.0,163130000.0,40800.0,652500.0,489400.0,7800000.0,300000.0,2016.0,Apr,20.0,35.5,108116615.0,2.15,50975903.0,12.879721,121.774017
216,Junya.ï¿½ï¿½ï¿½ï¿½,26200000,16097531087.0,Entertainment,Junya.ï¿½ï¿½ï¿½ï¿½,5985,Japan,JP,Entertainment,184.0,2.0,56.0,721848000.0,180500.0,2900000.0,2200000.0,34600000.0,1100000.0,2020.0,Sep,14.0,63.2,126226568.0,2.29,115782416.0,36.204824,138.252924
222,Indosiar,25900000,11372071889.0,Music,Indosiar,65286,Indonesia,ID,Entertainment,358.0,5.0,60.0,230183000.0,57500.0,920700.0,690500.0,11000000.0,600000.0,2013.0,Sep,23.0,36.3,270203917.0,4.69,151509724.0,-0.789275,113.921327
225,LosPolinesios,25700000,7466926260.0,People & Blogs,LosPolinesios,982,Mexico,MX,People,746.0,8.0,7.0,30501000.0,7600.0,122000.0,91500.0,1500000.0,,2012.0,Dec,16.0,40.2,126014024.0,3.42,102626859.0,23.634501,-102.552784
231,Rans Entertainment,25400000,6430853035.0,People & Blogs,Rans Entertainment,3716,Indonesia,ID,Entertainment,942.0,6.0,62.0,58487000.0,14600.0,233900.0,175500.0,2800000.0,100000.0,2015.0,Dec,27.0,36.3,270203917.0,4.69,151509724.0,-0.789275,113.921327
233,Coldplay,25300000,17331663193.0,Music,Coldplay,398,United Kingdom,GB,Music,160.0,8.0,70.0,198875000.0,49700.0,795500.0,596600.0,9500000.0,100000.0,2010.0,Jan,3.0,60.0,66834405.0,3.85,55908316.0,55.378051,-3.435973
241,TRANS7 OFFICIAL,25000000,14169516119.0,Entertainment,TRANS7 OFFICIAL,89179,Indonesia,ID,Entertainment,251.0,7.0,64.0,123189000.0,30800.0,492800.0,369600.0,5900000.0,100000.0,2014.0,Sep,4.0,36.3,270203917.0,4.69,151509724.0,-0.789275,113.921327
243,Dan Rhodes,24800000,17387583720.0,Entertainment,Dan Rhodes,1644,United Kingdom,GB,Entertainment,157.0,9.0,66.0,331889000.0,83000.0,1300000.0,995700.0,15900000.0,500000.0,2015.0,Oct,30.0,60.0,66834405.0,3.85,55908316.0,55.378051,-3.435973
244,Yuya,24800000,2588501115.0,Howto & Style,Yuya,672,Mexico,MX,Howto,3505.0,9.0,6.0,336291.0,84.0,1300.0,1000.0,16100.0,,2009.0,Sep,20.0,40.2,126014024.0,3.42,102626859.0,23.634501,-102.552784
251,1theK (ï¿½ï¿½ï¿½ï¿½ï,24500000,23962070944.0,Music,1theK (ï¿½ï¿½ï¿½ï¿½ï,18950,South Korea,KR,Entertainment,79.0,6.0,67.0,105567000.0,26400.0,422300.0,316700.0,5100000.0,,2011.0,Jan,31.0,94.3,51709098.0,4.15,42106719.0,35.907757,127.766922
255,MrBeast en Espaï¿½ï,24200000,2700914170.0,Entertainment,MrBeast en Espaï¿½ï,67,Mexico,MX,Entertainment,3309.0,10.0,70.0,33590000.0,8400.0,134400.0,100800.0,1600000.0,100000.0,2021.0,Jul,9.0,40.2,126014024.0,3.42,102626859.0,23.634501,-102.552784
256,shfa show India,24200000,15724160183.0,,shfa show India,469,United Arab Emirates,AE,People,203.0,3.0,9.0,151208000.0,37800.0,604800.0,453600.0,7300000.0,200000.0,2019.0,Apr,1.0,36.8,9770529.0,2.35,8479744.0,23.424076,53.847818
263,KSI,24100000,6002166932.0,Entertainment,KSI,1252,United Kingdom,GB,Music,1053.0,10.0,76.0,5439000.0,1400.0,21800.0,16300.0,261100.0,,2009.0,Jul,25.0,60.0,66834405.0,3.85,55908316.0,55.378051,-3.435973
275,Mister Max,23700000,15510153803.0,People & Blogs,Mister Max,1099,United Kingdom,GB,Entertainment,208.0,11.0,74.0,32817000.0,8200.0,131300.0,98400.0,1600000.0,,2014.0,Sep,22.0,60.0,66834405.0,3.85,55908316.0,55.378051,-3.435973
